,trip_id,device_id,vehicle_type,trip_duration,trip_distance,start_time,end_time,modified_date,month,hour,day_of_week,council_district_start,council_district_end,year,census_geoid_start,census_geoid_end,start_time_us_central,end_time_us_central
237,7e6326fa-4e7e-420a-a640-a787090511b5,ec2bc0e6-8320-4a26-a02e-f3e53b0b3da8,scooter,923,1469,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:25.000,10,0,3,3,3,2021,48453000902,48453000902,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
238,75e114e5-71ee-446b-9cb8-2bc1b1ab090e,cd22bd10-4e57-4db1-b8f2-37aa0aca03b8,scooter,212,1099,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:25.000,10,0,3,3,9,2021,48453001000,48453001100,2021-10-27T19:00:00.000,2021-10-27T19:00:00.000
239,852e1a43-6f6a-41da-b3e1-0724255eddd7,ccdb5c55-ffa3-49e5-b44b-2b86295f3103,scooter,94,145,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:27.000,10,0,3,3,3,2021,48453000902,48453000902,2021-10-27T19:00:00.000,2021-10-27T19:00:00.000
240,bca91eae-388e-424d-aa05-d264cc1aa3b6,6c147a04-c6e9-4010-8015-3b3ae803e1ba,scooter,63,68,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:28.000,10,0,3,3,3,2021,48453000902,48453000902,2021-10-27T19:00:00.000,2021-10-27T19:00:00.000
241,37d0f0b5-95b4-470a-bde0-d451ac19f3a6,bdaf83a8-31e9-4736-bc22-d206d5c4fed4,scooter,129,769,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:28.000,10,0,3,3,3,2021,48453000902,48453000902,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
242,d1bea7d7-6a8b-43f1-ba40-462d634b3693,6466367e-2500-42d5-8bff-9bd49eb8da6f,scooter,829,3938,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:29.000,10,0,3,1,5,2021,48453000700,48453001303,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
243,f75d4b2d-33ae-41c1-baa9-8bd507428be3,1b3d6604-8e9d-4070-9303-75fc4d4256c5,scooter,357,2104,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:29.000,10,0,3,9,9,2021,48453001100,48453001200,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
244,ef8277a9-b893-4148-9e26-67cf13338068,96591746-14d6-434b-8049-f2a69e1a4076,scooter,378,1455,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:30.000,10,0,3,9,9,2021,48453001200,48453001100,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
245,a8b219da-1dec-4eb6-966c-1630c207f4e1,7350bbe2-a12e-4a49-b1e1-4ef530691056,scooter,979,1601,2021-10-27T23:30:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:30.000,10,0,3,9,9,2021,48453001100,48453002304,2021-10-27T18:30:00.000,2021-10-27T19:00:00.000
246,a3734521-3d84-41ec-ae64-139152eca25d,49e9f7db-8d52-41ff-8c5d-f4c9467cabf6,scooter,372,1177,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:31:07.000,10,0,3,9,9,2021,48453000603,48453000604,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
247,481284d5-f9e8-4807-97c2-d9a0f5fc9e34,dd97d8ec-472c-42cf-aaa1-81283f536f47,scooter,37,51,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:31:08.000,10,0,3,9,9,2021,48453000603,48453000603,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
248,c913eb65-1c0e-40db-b4db-80ac5115ec60,088cd0b5-c807-419c-8149-73a4420994a1,scooter,210,1325.5254950679398,2021-10-28T01:00:00.000,2021-10-28T01:00:00.000,2021-10-29T02:16:03.000,10,1,3,9,9,2021,48453001100,48453001100,2021-10-27T20:00:00.000,2021-10-27T20:00:00.000
249,489abae5-2ee3-49cc-aa3f-e24e3fd76ce0,8d81c67b-f852-4488-b495-f3f4e6cef4e5,scooter,1739,7336.650020736208,2021-10-27T23:45:00.000,2021-10-28T00:15:00.000,2021-10-29T02:16:03.000,10,0,3,9,3,2021,48453001100,48453000902,2021-10-27T18:45:00.000,2021-10-27T19:15:00.000
250,46d4baf1-8e7b-4aeb-8fb9-1015159a72e2,8baf2d74-b45d-421c-ae77-88986e165834,scooter,3503,13759.661268141008,2021-10-28T00:00:00.000,2021-10-28T01:00:00.000,2021-10-29T02:16:04.000,10,1,3,9,5,2021,48453000604,48453002005,2021-10-27T19:00:00.000,2021-10-27T20:00:00.000
251,b0fb7182-119d-4481-9793-c787b89e594c,b33a1c0a-9542-4d46-9858-29c70ba1535c,scooter,2022,5875.495228554376,2021-10-28T00:15:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:05.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T19:15:00.000,2021-10-27T19:45:00.000
252,7b954c0f-1536-4ceb-abaa-02feb50906cf,be76793d-21a9-4d57-8fef-713e75a4df44,scooter,1684,3293,2021-10-27T23:45:00.000,2021-10-28T00:15:00.000,2021-10-29T02:16:05.000,10,0,3,9,9,2021,48453002308,48453001401,2021-10-27T18:45:00.000,2021-10-27T19:15:00.000
253,5b682382-d817-40bb-9f25-7c69d5c016b2,900b1132-680d-4736-8bea-2f5c7b308c87,scooter,838,2975.4576886904974,2021-10-28T00:45:00.000,2021-10-28T01:00:00.000,2021-10-29T02:16:06.000,10,1,3,3,9,2021,48453000902,48453001100,2021-10-27T19:45:00.000,2021-10-27T20:00:00.000
254,ca1cb958-7872-4f84-aeb5-c2a67bcdcb6c,54ae64b7-e451-413a-9f7e-14708d22cd32,scooter,199,684,2021-10-28T00:45:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:06.000,10,0,3,3,3,2021,48453002316,48453002316,2021-10-27T19:45:00.000,2021-10-27T19:45:00.000
255,6fe7897e-7e2b-4cc3-9790-dab5863f7b1e,0b875a28-5720-4ccf-b829-1dd91b9ff398,scooter,738,452,2021-10-28T00:30:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:07.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T19:30:00.000,2021-10-27T19:45:00.000
256,3a8b17a5-75e9-4f5f-8f1e-03b105b5d1fd,b786d26d-a86f-4b1c-bb91-d5dc78accd12,scooter,167,844,2021-10-28T00:45:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:07.000,10,0,3,9,9,2021,48453001100,48453001305,2021-10-27T19:45:00.000,2021-10-27T19:45:00.000
257,8d8d5e83-cd1f-4ab7-948f-6243ebc5fbec,20919eca-8afc-4bcb-9840-e715d573a693,scooter,618,3256,2021-10-28T00:30:00.000,2021-10-28T00:30:00.000,2021-10-29T02:16:08.000,10,0,3,9,3,2021,48453001100,48453001000,2021-10-27T19:30:00.000,2021-10-27T19:30:00.000
258,da176399-5074-426d-a2a6-00501f79cc7a,343924d0-9c26-4355-b2fc-bd243bdb0125,scooter,1447,1550,2021-10-28T00:15:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:10.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T19:15:00.000,2021-10-27T19:45:00.000
259,013d5e61-afd4-4b84-bff8-0046db00d5b3,2344dbc4-31bb-4fee-99b9-06eddcd96df8,scooter,7,0,2021-10-28T00:30:00.000,2021-10-28T00:30:00.000,2021-10-29T02:16:10.000,10,0,3,9,9,2021,48453001305,48453001305,2021-10-27T19:30:00.000,2021-10-27T19:30:00.000
260,109af4aa-0b4d-494b-b898-0cb2abb202d5,d55fa678-15b1-4ec5-8786-94ad02cb648c,scooter,202,613,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,2021-10-29T02:16:10.000,10,0,3,9,9,2021,48453000603,48453000604,2021-10-27T19:00:00.000,2021-10-27T19:00:00.000
261,c7570e6d-2f94-434f-8ad3-6d4a2edbb59b,729265f5-4620-4662-8b5a-6da9cca54c11,scooter,2009,3591,2021-10-27T23:45:00.000,2021-10-28T00:15:00.000,2021-10-29T02:16:11.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T18:45:00.000,2021-10-27T19:15:00.000
262,8a454e86-f4e2-40b6-b294-cef99f2507a5,07960053-d31d-442d-85ff-3a4a689edf28,scooter,618,588,2021-10-28T00:15:00.000,2021-10-28T00:30:00.000,2021-10-29T02:16:11.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T19:15:00.000,2021-10-27T19:30:00.000
263,cf987a18-8bd6-4b7f-845e-82585f4d5b8e,2036fc2f-f9d4-4c05-9772-7d71918b1176,scooter,790,4303,2021-10-28T00:30:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:12.000,10,0,3,4,4,2021,48453001503,48453002105,2021-10-27T19:30:00.000,2021-10-27T19:45:00.000
264,c79cb295-de1b-451a-8640-1061b720b26d,bab59605-4d46-40fb-8d05-3868c6721bf6,scooter,271,887,2021-10-28T00:15:00.000,2021-10-28T00:15:00.000,2021-10-29T02:16:12.000,10,0,3,8,5,2021,48453001911,48453001303,2021-10-27T19:15:00.000,2021-10-27T19:15:00.000
265,9f3ac4be-6ab8-4316-85c6-5fc02fa33ecd,b533bd6b-fc7f-4fa3-9141-741a24cae917,scooter,1408,2273,2021-10-28T00:30:00.000,2021-10-28T01:00:00.000,2021-10-29T02:16:35.000,10,1,3,9,9,2021,48453001305,48453001100,2021-10-27T19:30:00.000,2021-10-27T20:00:00.000
266,54dcb011-f3a3-4f34-bf8c-93b0261890e0,1fbf6398-3c1e-46e1-a2c7-447ac5469fb3,scooter,736,1996,2021-10-28T00:45:00.000,2021-10-28T01:00:00.000,2021-10-29T02:16:35.000,10,1,3,9,3,2021,48453001100,48453000902,2021-10-27T19:45:00.000,2021-10-27T20:00:00.000
267,f7a94ebf-05d9-4e8a-b826-ede0eed95cf8,b2641cc1-266b-43a5-830f-8049406af717,scooter,248,807,2021-10-28T00:45:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:35.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T19:45:00.000,2021-10-27T19:45:00.000
268,73c962d6-6d51-4252-8dd3-fec77b5a6fcd,388f16db-ae3d-4a4a-a7f6-996a1e735895,scooter,657,2071,2021-10-28T00:45:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:35.000,10,0,3,9,9,2021,48453001100,48453001200,2021-10-27T19:45:00.000,2021-10-27T19:45:00.000
269,027b2ef3-87f7-4887-a192-bb61fba48592,7d34de99-deae-46e7-87cc-63fe49902d9e,scooter,261,501,2021-10-28T00:30:00.000,2021-10-28T00:30:00.000,2021-10-29T02:16:36.000,10,0,3,9,9,2021,48453000601,48453000500,2021-10-27T19:30:00.000,2021-10-27T19:30:00.000
270,70f40e3f-fe5a-41d4-a30e-35050d44e3c8,b52bf44b-fcb9-4f23-86ef-e520206cd7c6,scooter,333,721,2021-10-28T00:45:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:36.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T19:45:00.000,2021-10-27T19:45:00.000
271,41da2fef-cedc-421e-9c03-a2b8b4942a0e,c118e19e-9395-4517-931f-da1f3d5bd10a,scooter,396,1135,2021-10-28T00:30:00.000,2021-10-28T00:30:00.000,2021-10-29T02:16:14.000,10,0,3,9,9,2021,48453001200,48453001100,2021-10-27T19:30:00.000,2021-10-27T19:30:00.000
272,64571625-0e0b-46aa-ac92-453a4659386e,5c9622a0-5785-47f7-b728-8f5e0138ce5c,scooter,160,1131,2021-10-28T00:00:00.000,2021-10-28T00:15:00.000,2021-10-29T02:16:16.000,10,0,3,3,9,2021,48453001000,48453001100,2021-10-27T19:00:00.000,2021-10-27T19:15:00.000
273,e0dc7e3f-c4cf-4099-b9e8-35aaff53873e,c302d417-f5ff-4e73-8456-82439dafc043,scooter,155,170,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,2021-10-29T02:16:17.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T19:00:00.000,2021-10-27T19:00:00.000
274,b509030d-c966-45c3-a62b-44a73a5d6273,a0438fc9-c4d6-4dea-b309-d3bb148d90a5,scooter,1525,1381,2021-10-28T00:15:00.000,2021-10-28T00:45:00.000,2021-10-29T02:16:18.000,10,0,3,9,9,2021,48453000603,48453000604,2021-10-27T19:15:00.000,2021-10-27T19:45:00.000
275,be9876b3-236e-41bd-8de9-cd75a5e96949,7d34de99-deae-46e7-87cc-63fe49902d9e,scooter,406,1458,2021-10-28T00:15:00.000,2021-10-28T00:15:00.000,2021-10-29T02:16:20.000,10,0,3,9,9,2021,48453000603,48453000601,2021-10-27T19:15:00.000,2021-10-27T19:15:00.000
276,511319b0-eb6f-4339-9594-bb8bdcfd2894,a6fb3f05-9e75-4ca2-a312-4b6aeeb3bdc2,scooter,1394,4625,2021-10-27T23:45:00.000,2021-10-28T00:15:00.000,2021-10-29T02:16:22.000,10,0,3,3,9,2021,48453000902,48453001402,2021-10-27T18:45:00.000,2021-10-27T19:15:00.000
277,d77d2f1d-37e5-4d3b-b326-728c8fb4eb23,0ad9e4f9-4b64-463a-861f-642bea378f6b,scooter,359,352,2021-10-28T00:15:00.000,2021-10-28T00:30:00.000,2021-10-29T02:16:22.000,10,0,3,3,3,2021,48453000902,48453000902,2021-10-27T19:15:00.000,2021-10-27T19:30:00.000
278,c3f4fb3e-9a6d-4362-966c-90d4e7fd88f2,e70051d2-0b22-45a0-9ef4-71d267ebf14c,scooter,334,858,2021-10-28T00:15:00.000,2021-10-28T00:15:00.000,2021-10-29T02:16:24.000,10,0,3,9,9,2021,48453000603,48453000604,2021-10-27T19:15:00.000,2021-10-27T19:15:00.000
279,45f96422-88c3-481e-9ce2-57ce6d9dd35a,d7d8d11c-ccf4-4e16-9a8e-5b20a912a080,scooter,719,319,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T02:16:25.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
280,dfa6a1fc-51a1-4456-9f69-221899b40452,c33fd396-10e0-4374-9d28-73b12dfa71b3,scooter,554,1421,2021-10-28T00:30:00.000,2021-10-28T00:30:00.000,2021-10-29T02:16:25.000,10,0,3,9,3,2021,48453001305,48453001308,2021-10-27T19:30:00.000,2021-10-27T19:30:00.000
281,ebb6acae-bc5a-47a7-ab0a-4d750b1f92d5,c1bf7259-cf0d-40d3-9dea-e48e21eba9ef,scooter,210,161,2021-10-28T00:15:00.000,2021-10-28T00:30:00.000,2021-10-29T02:16:25.000,10,0,3,5,5,2021,48453001303,48453001303,2021-10-27T19:15:00.000,2021-10-27T19:30:00.000
282,2edf7b99-5a7d-4a01-b43e-9e0121d34003,d13bf26f-b427-43a5-bce1-133cd8894f7f,scooter,933,4364,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T02:16:26.000,10,0,3,9,9,2021,48453000402,48453001100,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
